((((1,2),(3,((4,5),6))),11),(((7,8),9),10),12); 0.58500000 0.60275053  -0.23284413  -0.21986240
((((1,2),((3,6),(4,5))),11),(((7,8),9),10),12); 0.29500000 0.27717725  -0.53017798  -0.55724242
((((1,2),(3,((4,5),6))),(((7,8),9),10)),11,12); 0.08250000 0.06861036  -1.08354605  -1.16361029
((((1,2),((3,6),(4,5))),(((7,8),9),10)),11,12); 0.01750000 0.03155075  -1.75696195  -1.50099031
(((1,2),(3,((4,5),6))),((((7,8),9),10),11),12); 0.01333333 0.00907244  -1.87506126  -2.04227568
((((1,(3,((4,5),6))),2),11),(((7,8),9),10),12); 0.00333333 0.00404531  -2.47712125  -2.39304867
((((1,((3,6),(4,5))),2),11),(((7,8),9),10),12); 0.00250000 0.00186025  -2.60205999  -2.73042869
((((1,(3,((4,5),6))),2),(((7,8),9),10)),11,12); 0.00083333 0.00046047  -3.07918125  -3.33679656
